City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vao,NC,78.67,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
3,Busselton,AU,55.99,clear sky,-33.65,115.3333,Observatory Guest House
4,Kupang,ID,78.49,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
5,Weligama,LK,75.67,light rain,5.9667,80.4167,Weligama Bay Resort
6,Rikitea,PF,78.01,broken clouds,-23.1203,-134.9692,Pension Maro'i
7,Bengkulu,ID,76.35,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
8,Castro,BR,78.03,clear sky,-24.7911,-50.0119,CHACARA BAILLY
9,New Norfolk,AU,59.0,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
10,Victoria,HK,53.01,overcast clouds,22.2855,114.1577,Mini Hotel Central
11,Butaritari,KI,81.52,broken clouds,3.0707,172.7902,Isles Sunset Lodge
12,Veraval,IN,71.85,overcast clouds,20.9,70.3667,Lords Inn Somnath
13,Hope,US,41.0,overcast clouds,33.6671,-93.5916,Best Western Hope
17,Rio Gallegos,AR,60.8,light rain,-51.6226,-69.2181,Hotel Santa Cruz
18,Damaturu,NG,73.83,clear sky,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
19,Port Augusta,AU,69.8,clear sky,-32.5,137.7667,Majestic Oasis Apartments
21,Vila Franca Do Campo,PT,55.4,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
23,Ushuaia,AR,46.4,light rain,-54.8,-68.3,Albatros Hotel
26,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
28,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
29,Sao Filipe,CV,71.47,overcast clouds,14.8961,-24.4956,Tortuga B&B
31,Saldanha,ZA,64.4,clear sky,-33.0117,17.9442,Blue Bay Lodge
35,Nelson Bay,AU,62.01,clear sky,-32.7167,152.15,Mantra Nelson Bay
38,Loreto,MX,66.04,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
39,Mataura,NZ,55.99,broken clouds,-46.1927,168.8643,Ellie's Villa
41,Dingle,PH,74.05,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
42,Beldanga,IN,69.91,broken clouds,23.9333,88.25,"Saha Computer, CSC Centre"
47,East London,ZA,69.64,light rain,-33.0153,27.9116,Tu Casa
48,Bluff,NZ,55.99,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
50,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
51,Lebu,CL,59.86,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
53,Bend,US,44.01,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
55,Banjar,ID,78.8,scattered clouds,-8.19,114.9675,The Hamsa Resort
56,Itoman,JP,57.2,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
57,Avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
59,Mahibadhoo,MV,81.48,overcast clouds,3.7833,72.9667,Omadhoo Inn
60,Airai,TL,61.84,light rain,-8.9266,125.4092,Juvinal Martin
