City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tadine,NC,-21.55,167.8833,77.88,86,100,2.71,heavy intensity rain
1,Dikson,RU,73.5069,80.5464,20.82,98,100,21.39,light snow
2,Vao,NC,-22.6667,167.4833,78.67,85,100,9.33,moderate rain
3,Busselton,AU,-33.65,115.3333,55.99,91,3,11.12,clear sky
4,Kupang,ID,-10.1667,123.5833,78.49,83,93,4.81,light rain
5,Weligama,LK,5.9667,80.4167,75.67,82,100,4.47,light rain
6,Rikitea,PF,-23.1203,-134.9692,78.01,77,74,14.58,broken clouds
7,Bengkulu,ID,-3.8004,102.2655,76.35,84,100,4.52,heavy intensity rain
8,Castro,BR,-24.7911,-50.0119,78.03,77,4,4.92,clear sky
9,New Norfolk,AU,-42.7826,147.0587,59.0,91,70,2.98,broken clouds
10,Victoria,HK,22.2855,114.1577,53.01,30,97,10.0,overcast clouds
11,Butaritari,KI,3.0707,172.7902,81.52,81,60,17.2,broken clouds
12,Veraval,IN,20.9,70.3667,71.85,53,97,12.77,overcast clouds
13,Hope,US,33.6671,-93.5916,41.0,60,100,5.01,overcast clouds
14,Ayagoz,KZ,47.9714,80.4392,10.22,90,100,6.38,overcast clouds
15,Ust-Koksa,RU,50.2696,85.6108,11.37,89,100,2.73,overcast clouds
16,Talnakh,RU,69.4865,88.3972,-16.19,80,100,4.16,overcast clouds
17,Rio Gallegos,AR,-51.6226,-69.2181,60.8,25,40,11.5,light rain
18,Damaturu,NG,11.747,11.9608,73.83,20,4,9.82,clear sky
19,Port Augusta,AU,-32.5,137.7667,69.8,40,2,8.05,clear sky
20,Thompson,CA,55.7435,-97.8558,17.6,93,75,4.61,broken clouds
21,Vila Franca Do Campo,PT,37.7167,-25.4333,55.4,88,75,6.91,broken clouds
22,Jamestown,US,42.097,-79.2353,36.0,69,1,6.91,clear sky
23,Ushuaia,AR,-54.8,-68.3,46.4,81,75,25.32,light rain
24,Clyde River,CA,70.4692,-68.5914,5.0,85,75,17.27,snow
25,Albany,US,42.6001,-73.9662,30.99,60,13,4.76,few clouds
26,Saint-Philippe,RE,-21.3585,55.7679,80.6,83,75,17.27,light rain
27,Gazli,UZ,40.1333,63.45,33.96,73,0,9.01,clear sky
28,Hilo,US,19.7297,-155.09,75.2,60,1,8.05,light rain
29,Sao Filipe,CV,14.8961,-24.4956,71.47,71,100,20.51,overcast clouds
30,Oranjemund,NA,-28.55,16.4333,63.07,82,0,16.58,clear sky
31,Saldanha,ZA,-33.0117,17.9442,64.4,59,0,16.11,clear sky
32,Khilok,RU,51.3674,110.4676,-3.3,86,99,4.63,overcast clouds
33,Uvinza,TZ,-5.1036,30.3911,66.92,85,99,0.43,overcast clouds
34,Provideniya,RU,64.3833,-173.3,-5.8,65,0,2.24,clear sky
35,Nelson Bay,AU,-32.7167,152.15,62.01,100,0,4.09,clear sky
36,Paamiut,GL,61.994,-49.6678,33.21,97,100,9.6,light rain
37,Kodiak,US,57.79,-152.4072,39.2,81,90,18.41,moderate rain
38,Loreto,MX,22.2667,-101.9667,66.04,24,0,12.01,clear sky
39,Mataura,NZ,-46.1927,168.8643,55.99,70,60,11.01,broken clouds
40,Nome,US,64.5011,-165.4064,10.4,72,40,14.97,scattered clouds
41,Dingle,PH,10.9995,122.6711,74.05,93,100,10.92,overcast clouds
42,Beldanga,IN,23.9333,88.25,69.91,55,63,3.98,broken clouds
43,Svejbaek,DK,56.1325,9.6329,35.01,100,100,5.75,overcast clouds
44,Hasaki,JP,35.7333,140.8333,23.0,80,20,5.75,few clouds
45,Ostrovnoy,RU,68.0531,39.5131,5.79,92,22,12.03,few clouds
46,Makat,KZ,47.6469,53.3463,31.33,99,100,8.68,overcast clouds
47,East London,ZA,-33.0153,27.9116,69.64,84,100,13.73,light rain
48,Bluff,NZ,-46.6,168.3333,55.99,70,84,11.01,broken clouds
49,Upernavik,GL,72.7868,-56.1549,10.8,84,0,10.27,clear sky
50,Vaini,TO,-21.2,-175.2,80.6,89,75,6.91,broken clouds
51,Lebu,CL,-37.6167,-73.65,59.86,77,98,8.75,overcast clouds
52,Lavrentiya,RU,65.5833,-171.0,-15.5,83,0,11.56,clear sky
53,Bend,US,44.0582,-121.3153,44.01,63,1,1.99,clear sky
54,Areia Branca,BR,-4.9561,-37.1369,91.4,46,40,17.27,scattered clouds
55,Banjar,ID,-8.19,114.9675,78.8,94,40,1.14,scattered clouds
56,Itoman,JP,26.1247,127.6694,57.2,77,20,9.22,few clouds
57,Avarua,CK,-21.2078,-159.775,82.4,78,20,13.8,light rain
58,Garden City,US,42.3256,-83.331,37.99,64,75,2.98,broken clouds
59,Mahibadhoo,MV,3.7833,72.9667,81.48,70,94,8.99,overcast clouds
60,Airai,TL,-8.9266,125.4092,61.84,100,66,0.78,light rain
61,Palmer,US,42.1584,-72.3287,39.99,38,75,6.91,broken clouds
62,Mahebourg,MU,-20.4081,57.7,78.8,94,40,6.91,light rain
63,Mount Isa,AU,-20.7333,139.5,78.8,65,75,9.22,broken clouds
64,Planovskoye,RU,43.3985,44.1949,33.8,100,100,8.95,overcast clouds
65,Nikolskoye,RU,59.7035,30.7861,6.01,85,100,6.71,overcast clouds
66,Mar Del Plata,AR,-38.0023,-57.5575,77.0,65,0,23.02,clear sky
67,Jalu,LY,29.0331,21.5482,67.48,37,23,9.22,few clouds
68,Punta Arenas,CL,-53.15,-70.9167,48.2,76,75,13.8,light rain
69,Cascais,PT,38.6979,-9.4215,46.0,67,0,16.67,clear sky
70,Norman Wells,CA,65.282,-126.8329,15.8,86,75,3.44,broken clouds
71,Griffith,US,41.5284,-87.4237,30.2,80,90,6.91,overcast clouds
72,Itambe,BR,-15.245,-40.6244,82.09,70,13,5.41,few clouds
73,Olafsvik,IS,64.8945,-23.7142,25.5,85,11,15.01,few clouds
74,Bouca,CF,6.5105,18.2733,76.32,20,0,4.16,clear sky
