City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chokurdakh,RU,2021-01-06 18:46:56,70.6333,147.9167,-15.05,89,96,11.12
1,Berlevag,NO,2021-01-06 18:49:03,70.8578,29.0864,28.4,74,0,11.41
2,Narrabri,AU,2021-01-06 18:51:42,-30.3167,149.7833,64.4,88,75,12.75
3,Busselton,AU,2021-01-06 18:51:43,-33.65,115.3333,69.01,57,85,8.99
4,Half Moon Bay,US,2021-01-06 18:47:32,37.4636,-122.4286,53.01,81,1,2.89
5,Constitucion,CL,2021-01-06 18:50:57,-35.3333,-72.4167,68.29,56,7,10.76
6,Vieques,PR,2021-01-06 18:51:44,18.425,-65.8329,82.99,69,20,9.17
7,Sai Buri,TH,2021-01-06 18:51:44,6.7013,101.6168,77.18,87,24,9.01
8,Tasiilaq,GL,2021-01-06 18:51:44,65.6145,-37.6368,21.2,44,100,2.24
9,Mar Del Plata,AR,2021-01-06 18:45:18,-38.0023,-57.5575,69.8,88,75,11.41
10,Tsimlyansk,RU,2021-01-06 18:51:45,47.6461,42.1019,33.96,96,100,6.6
11,Katherine,AU,2021-01-06 18:43:35,-14.4667,132.2667,77.0,88,100,2.24
12,Fort Nelson,CA,2021-01-06 18:51:45,58.8053,-122.7002,-5.8,83,20,3.36
13,Kodiak,US,2021-01-06 18:47:02,57.79,-152.4072,37.4,86,75,12.75
14,Hamilton,US,2021-01-06 18:44:03,39.1834,-84.5333,39.2,60,90,9.17
15,Butaritari,KI,2021-01-06 18:46:45,3.0707,172.7902,81.99,78,97,21.65
16,Jamestown,US,2021-01-06 18:46:56,42.097,-79.2353,30.0,92,90,8.05
17,Bluff,NZ,2021-01-06 18:46:39,-46.6,168.3333,60.01,94,100,3.15
18,Altay,CN,2021-01-06 18:51:46,47.8667,88.1167,1.15,49,0,3.94
19,Punta Arenas,CL,2021-01-06 18:42:08,-53.15,-70.9167,60.8,51,75,23.04
20,Qaanaaq,GL,2021-01-06 18:42:16,77.484,-69.3632,-11.34,83,96,3.71
21,Tarko-Sale,RU,2021-01-06 18:51:06,64.9225,77.785,-16.01,79,0,15.32
22,Kitimat,CA,2021-01-06 18:47:06,54.0524,-128.6534,33.01,96,100,4.47
23,Dandong,CN,2021-01-06 18:51:47,40.1292,124.3947,-2.69,70,0,17.34
24,Atuona,PF,2021-01-06 18:44:31,-9.8,-139.0333,77.41,75,11,14.85
25,Rikitea,PF,2021-01-06 18:41:58,-23.1203,-134.9692,77.32,65,9,8.41
26,Pevek,RU,2021-01-06 18:47:18,69.7008,170.3133,-7.44,91,100,16.35
27,Champerico,GT,2021-01-06 18:47:03,14.3,-91.9167,87.8,55,20,6.93
28,Avarua,CK,2021-01-06 18:41:57,-21.2078,-159.775,80.6,83,28,12.75
29,Preobrazheniye,RU,2021-01-06 18:51:48,42.9019,133.9064,6.98,79,100,7.63
30,Longyearbyen,SJ,2021-01-06 18:47:26,78.2186,15.6401,19.4,67,75,9.17
31,Ilulissat,GL,2021-01-06 18:47:09,69.2167,-51.1,28.4,86,90,17.22
32,Dingle,PH,2021-01-06 18:46:58,10.9995,122.6711,74.55,91,100,8.39
33,Gornopravdinsk,RU,2021-01-06 18:51:49,60.05,69.9,-15.11,85,11,5.12
34,Ishigaki,JP,2021-01-06 18:49:46,24.3448,124.1572,64.47,87,100,32.01
35,Cape Town,ZA,2021-01-06 18:45:11,-33.9258,18.4232,71.01,68,0,23.04
36,Haicheng,CN,2021-01-06 18:51:50,40.8516,122.7475,-7.76,61,0,14.54
37,Port Elizabeth,ZA,2021-01-06 18:47:31,-33.918,25.5701,68.0,88,20,2.24
38,Coihaique,CL,2021-01-06 18:47:08,-45.5752,-72.0662,69.8,52,75,11.41
39,San Patricio,US,2021-01-06 18:47:10,28.017,-97.5169,73.0,73,90,19.46
40,Ushuaia,AR,2021-01-06 18:41:01,-54.8,-68.3,60.8,44,75,14.99
41,Saint George,US,2021-01-06 18:42:22,37.1041,-113.5841,39.2,41,1,3.47
42,Venado Tuerto,AR,2021-01-06 18:51:51,-33.7456,-61.9688,91.24,18,0,14.05
43,Chicama,PE,2021-01-06 18:51:51,-7.8447,-79.1469,69.8,77,75,11.41
44,Muros,ES,2021-01-06 18:42:40,42.7762,-9.0603,44.01,86,0,14.29
45,Barrow,US,2021-01-06 18:46:53,71.2906,-156.7887,-9.4,76,90,6.93
46,Pital,CO,2021-01-06 18:51:52,2.2665,-75.8044,77.32,64,94,3.15
47,Nelson Bay,AU,2021-01-06 18:42:47,-32.7167,152.15,66.99,93,75,18.34
48,Beira,MZ,2021-01-06 18:51:52,-19.8436,34.8389,86.0,84,20,13.87
49,Manono,CD,2021-01-06 18:51:53,-7.3,27.4167,73.2,89,99,2.59
50,New Norfolk,AU,2021-01-06 18:41:58,-42.7826,147.0587,50.0,73,0,1.79
51,Dakar,SN,2021-01-06 18:42:20,14.6937,-17.4441,80.6,57,0,9.17
52,Puteyets,RU,2021-01-06 18:51:53,65.1716,57.091,0.84,93,32,5.48
53,Rawson,AR,2021-01-06 18:42:21,-43.3002,-65.1023,80.31,32,0,23.04
54,Mehamn,NO,2021-01-06 18:51:54,71.0357,27.8492,32.0,89,0,11.41
55,Fukue,JP,2021-01-06 18:51:54,32.6881,128.8419,43.0,91,99,32.1
56,Westport,US,2021-01-06 18:51:54,41.1415,-73.3579,39.99,59,20,14.99
57,Certegui,CO,2021-01-06 18:51:54,5.3707,-76.6044,73.08,95,100,2.15
58,Hobart,AU,2021-01-06 18:44:42,-42.8794,147.3294,48.99,87,75,10.29
59,Anito,PH,2021-01-06 18:51:55,12.4497,125.2886,77.02,88,100,8.03
60,Mahebourg,MU,2021-01-06 18:46:11,-20.4081,57.7,77.0,73,40,5.82
61,Mataura,NZ,2021-01-06 18:49:00,-46.1927,168.8643,60.01,94,100,1.7
62,Victoria,HK,2021-01-06 18:42:38,22.2855,114.1577,62.01,80,66,1.01
63,Hermanus,ZA,2021-01-06 18:43:32,-34.4187,19.2345,70.0,68,0,1.01
64,Walvis Bay,NA,2021-01-06 18:51:55,-22.9575,14.5053,71.6,73,1,11.41
65,College,US,2021-01-06 18:43:24,64.8569,-147.8028,1.0,69,75,3.36
66,Vukovar,HR,2021-01-06 18:51:56,45.3433,18.9997,42.01,93,0,4.7
67,Aitape,PG,2021-01-06 18:43:06,-3.1374,142.3475,77.88,83,100,4.09
68,Chuy,UY,2021-01-06 18:47:04,-33.6971,-53.4616,81.3,68,39,8.41
69,Hovd,MN,2021-01-06 18:50:28,48.0056,91.6419,-10.75,73,0,0.29
70,Albany,US,2021-01-06 18:44:49,42.6001,-73.9662,33.01,71,73,8.01
71,Cherskiy,RU,2021-01-06 18:47:12,68.75,161.3,-13.65,89,100,10.25
72,Upernavik,GL,2021-01-06 18:46:46,72.7868,-56.1549,8.17,87,100,16.24
73,Conceicao Da Barra,BR,2021-01-06 18:51:57,-18.5933,-39.7322,82.35,63,1,10.67
74,Vao,NC,2021-01-06 18:43:51,-22.6667,167.4833,78.46,80,56,18.7
75,Comodoro Rivadavia,AR,2021-01-06 18:51:58,-45.8667,-67.5,89.6,25,20,17.22
76,Bumba,CD,2021-01-06 18:43:14,2.1833,22.4667,78.31,66,0,2.77
77,Grand Gaube,MU,2021-01-06 18:47:40,-20.0064,57.6608,78.01,71,0,5.99
78,Lagoa,PT,2021-01-06 18:42:24,39.05,-27.9833,56.48,68,0,34.76
79,Tiznit,MA,2021-01-06 18:47:48,29.5833,-9.5,63.36,75,100,17.16
80,Necochea,AR,2021-01-06 18:51:59,-38.5473,-58.7368,66.99,89,92,21.59
81,Ondjiva,AO,2021-01-06 18:51:59,-17.0667,15.7333,80.38,36,99,2.15
82,Vardo,NO,2021-01-06 18:46:43,70.3705,31.1107,23.0,92,40,40.26
83,Chabahar,IR,2021-01-06 18:52:00,25.2919,60.643,65.46,30,0,10.36
84,Ribeira Grande,PT,2021-01-06 18:47:19,38.5167,-28.7,53.6,76,40,31.09
